Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),Year
DEN,Denver,CO,320.91,409.05,2012
ATL,Atlanta,GA,365.82,466.3,2012
EWR,Newark,NJ,477.06,608.09,2012
BOS,Boston,MA,371.25,473.22,2012
SEA,Seattle,WA,382.8,487.94,2012
MCO,Orlando,FL,278.43,354.91,2012
DFW,Dallas-DFW,TX,430.71,549.01,2012
PHX,Phoenix,AZ,331.83,422.97,2012
SFO,San Francisco,CA,408.14,520.24,2012
JFK,New York-JFK,NY,398.11,507.46,2012
LAS,Las Vegas,NV,269.62,343.68,2012
LGA,New York-La Guardia,NY,354.44,451.79,2012
MSP,Minneapolis,MN,437.25,557.35,2012
PHL,Philadelphia,PA,399.08,508.69,2012
IAH,Houston-Intercontinental,TX,506.86,646.07,2012
SAN,San Diego,CA,357.14,455.23,2012
DTW,Detroit,MI,404.96,516.18,2012
FLL,Fort Lauderdale,FL,271.59,346.19,2012
DCA,Washington-Reagan National,DC,377.23,480.84,2012
TPA,Tampa,FL,318.83,406.4,2012
MIA,Miami,FL,367.52,468.46,2012
AUS,Austin,TX,383.05,488.26,2012
BWI,Baltimore,MD,325.01,414.27,2012
PDX,Portland,OR,365.16,465.45,2012
SLC,Salt Lake City,UT,396.08,504.87,2012
BNA,Nashville,TN,368.31,469.47,2012
CLT,Charlotte,NC,407.82,519.83,2012
SMF,Sacramento,CA,348.61,444.36,2012
RDU,Raleigh/Durham,NC,355.79,453.51,2012
MDW,Chicago-Midway,IL,298.74,380.79,2012
HNL,Honolulu,HI,347.29,442.67,2012
STL,St. Louis,MO,355.45,453.08,2012
SJC,San Jose,CA,335.84,428.08,2012
OAK,Oakland,CA,293.23,373.77,2012
DAL,Dallas-Love Field,TX,282.95,360.67,2012
SNA,Santa Ana,CA,363.38,463.19,2012
MCI,Kansas City,MO,349.95,446.07,2012
MSY,New Orleans,LA,360.48,459.49,2012
CLE,Cleveland,OH,451.91,576.03,2012
IAD,Washington-Dulles,DC,496.18,632.47,2012
IND,Indianapolis,IN,382.54,487.61,2012
SJU,San Juan,PR,294.15,374.95,2012
SAT,San Antonio,TX,377.14,480.72,2012
PIT,Pittsburgh,PA,365.66,466.1,2012
CVG,Cincinnati,OH,524.95,669.14,2012
CMH,Columbus,OH,370.68,472.49,2012
HOU,Houston-Hobby,TX,325.82,415.31,2012
RSW,Fort Myers,FL,311.24,396.73,2012
BDL,Hartford,CT,406.41,518.04,2012
ONT,Ontario,CA,335.51,427.66,2012
JAX,Jacksonville,FL,368.72,469.99,2012
MKE,Milwaukee,WI,322.28,410.8,2012
BUR,Burbank,CA,278.93,355.54,2012
PBI,West Palm Beach/Palm Beach,FL,321.43,409.72,2012
OMA,Omaha,NE,373.22,475.73,2012
MEM,Memphis,TN,498.61,635.56,2012
RIC,Richmond,VA,412.02,525.19,2012
BOI,Boise,ID,388.09,494.69,2012
CHS,Charleston,SC,432.11,550.79,2012
BUF,Buffalo,NY,321.87,410.28,2012
ORF,Norfolk,VA,405.88,517.36,2012
ABQ,Albuquerque,NM,356.19,454.03,2012
OGG,Kahului,HI,258.21,329.13,2012
